20:31:09 [INFO] Opening target process: csgo.exe
20:31:09 [INFO] Starting signature scanning: 57 items
20:31:09 [INFO] Found signature: dwClientState => 0x58CFC4
20:31:09 [INFO] Found signature: dwClientState_GetLocalPlayer => 0x180
20:31:09 [INFO] Found signature: dwClientState_IsHLTV => 0x4D48
20:31:09 [INFO] Found signature: dwClientState_Map => 0x28C
20:31:09 [INFO] Found signature: dwClientState_MapDirectory => 0x188
20:31:09 [INFO] Found signature: dwClientState_MaxPlayer => 0x388
20:31:09 [INFO] Found signature: dwClientState_PlayerInfo => 0x52C0
20:31:09 [INFO] Found signature: dwClientState_State => 0x108
20:31:09 [INFO] Found signature: dwClientState_ViewAngles => 0x4D90
20:31:09 [INFO] Found signature: clientstate_delta_ticks => 0x174
20:31:09 [INFO] Found signature: clientstate_last_outgoing_command => 0x4D2C
20:31:09 [INFO] Found signature: clientstate_choked_commands => 0x4D30
20:31:09 [INFO] Found signature: clientstate_net_channel => 0x9C
20:31:09 [INFO] Found signature: dwEntityList => 0x4DD245C
20:31:09 [INFO] Found signature: dwForceAttack => 0x3202970
20:31:09 [INFO] Found signature: dwForceAttack2 => 0x320297C
20:31:09 [INFO] Found signature: dwForceBackward => 0x320291C
20:31:09 [INFO] Found signature: dwForceForward => 0x32029A0
20:31:09 [INFO] Found signature: dwForceJump => 0x527C38C
20:31:09 [INFO] Found signature: dwForceLeft => 0x3202928
20:31:09 [INFO] Found signature: dwForceRight => 0x3202934
20:31:09 [INFO] Found signature: dwGameDir => 0x62B880
20:31:09 [INFO] Found signature: dwGameRulesProxy => 0x52EFBBC
20:31:09 [INFO] Found signature: dwGetAllClasses => 0xDE0764
20:31:09 [INFO] Found signature: dwGlobalVars => 0x58CCC8
20:31:09 [INFO] Found signature: dwGlowObjectManager => 0x531B048
20:31:09 [INFO] Found signature: dwInput => 0x5223A30
20:31:09 [INFO] Found signature: dwInterfaceLinkList => 0x9692B4
20:31:09 [INFO] Found signature: dwLocalPlayer => 0xDB65DC
20:31:09 [INFO] Found signature: dwMouseEnable => 0xDBC2E8
20:31:09 [INFO] Found signature: dwMouseEnablePtr => 0xDBC2B8
20:31:09 [INFO] Found signature: dwPlayerResource => 0x3200CC0
20:31:09 [INFO] Found signature: dwRadarBase => 0x52071D4
20:31:09 [INFO] Found signature: dwSensitivity => 0xDBC184
20:31:09 [INFO] Found signature: dwSensitivityPtr => 0xDBC158
20:31:09 [INFO] Found signature: dwSetClanTag => 0x8A320
20:31:09 [INFO] Found signature: dwViewMatrix => 0x4DC3D74
20:31:09 [INFO] Found signature: dwWeaponTable => 0x52244F8
20:31:09 [INFO] Found signature: dwWeaponTableIndex => 0x326C
20:31:09 [INFO] Found signature: dwYawPtr => 0xDBBF48
20:31:09 [INFO] Found signature: dwZoomSensitivityRatioPtr => 0xDC21B0
20:31:09 [INFO] Found signature: dwbSendPackets => 0xD9572
20:31:09 [INFO] Found signature: dwppDirect3DDevice9 => 0xA5050
20:31:09 [INFO] Found signature: m_pStudioHdr => 0x2950
20:31:09 [INFO] Found signature: m_yawClassPtr => 0xDBBF48
20:31:09 [INFO] Found signature: m_pitchClassPtr => 0x5207470
20:31:09 [INFO] Found signature: interface_engine_cvar => 0x3E9EC
20:31:09 [INFO] Found signature: convar_name_hash_table => 0x2F0F8
20:31:09 [INFO] Found signature: m_bDormant => 0xED
20:31:09 [INFO] Found signature: model_ambient_min => 0x59003C
20:31:09 [INFO] Found signature: set_abs_angles => 0x1E5430
20:31:09 [INFO] Found signature: set_abs_origin => 0x1E5270
20:31:09 [INFO] Found signature: is_c4_owner => 0x3C8890
20:31:09 [INFO] Found signature: force_update_spectator_glow => 0x3BB80A
20:31:09 [INFO] Found signature: anim_overlays => 0x2990
20:31:09 [INFO] Found signature: m_flSpawnTime => 0x103C0
20:31:09 [INFO] Found signature: find_hud_element => 0x24F450F0
20:31:09 [INFO] Finished signature scanning: 57/57 items successful
20:31:09 [INFO] Starting netvar scanning: 93 items
20:31:09 [INFO] Found netvar: m_ArmorValue => 0x117CC
20:31:09 [INFO] Found netvar: m_Collision => 0x320
20:31:09 [INFO] Found netvar: m_CollisionGroup => 0x474
20:31:09 [INFO] Found netvar: m_Local => 0x2FCC
20:31:09 [INFO] Found netvar: m_MoveType => 0x25B
20:31:09 [INFO] Found netvar: m_OriginalOwnerXuidHigh => 0x31D4
20:31:09 [INFO] Found netvar: m_OriginalOwnerXuidLow => 0x31D0
20:31:09 [INFO] Found netvar: m_aimPunchAngle => 0x303C
20:31:09 [INFO] Found netvar: m_aimPunchAngleVel => 0x3048
20:31:09 [INFO] Found netvar: m_bGunGameImmunity => 0x9990
20:31:09 [INFO] Found netvar: m_bHasDefuser => 0x117DC
20:31:09 [INFO] Found netvar: m_bHasHelmet => 0x117C0
